tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen,group
2696458,1,2733124,Escherichia phage ukendt,,viruses,True,,,,,,,,,,,,,,,,19.425514685082053,32.0,1.0,32.0,34.615,416.0,10^-54.9245,,,,,,0,virus-phage
1883377,1,2733102,Erwinia phage vB_EamM_Phobos,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,63.0,46.0,10^-9.09474,,,,,,0,virus-phage
1883372,1,2733102,Erwinia phage vB_EamM_EarlPhillipIV,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,46.0,50.0,10^-5.56543,,,,,,0,virus-phage
1195085,1,2733102,Cronobacter phage CR5,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,62.8,43.0,10^-3.95659,,,,,,0,virus-phage
2713269,1,2560255,Streptomyces phage Muntaha,,viruses,True,,,,1.2140946678176283,2.0,,,86.567,67.0,10^-20.8767,,,,,,,,,,,,,,,,,,0,virus-phage
2713267,1,2560255,Streptomyces phage Wakanda,,viruses,True,,,,1.8211420017264424,3.0,,,86.567,67.0,10^-20.8767,,,,,,,,,,,,,,,,,,0,virus-phage
1923890,1,2560215,Ralstonia phage RP31,,viruses,True,,,,,,,,,,,,,,,,1.8211420017264424,3.0,,,57.85,48.5,10^-8.22204,,,,,,0,virus-phage
2781361,1,2560170,Acinetobacter phage Ab_SZ3,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,59.6,47.0,10^-10.3179,,,,,,0,virus-phage
2588503,1,2560111,Corynebacterium phage Stickynote,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,66.7,30.0,10^-3.14086,,,,,,0,virus-phage
2483719,1,2560111,Corynebacterium phage Kimchi1738,,viruses,True,,,,,,,,,,,,,,,,1.8211420017264424,3.0,,,57.6333,46.6667,10^-7.28367,,,,,,0,virus-phage
2483718,1,2560111,Corynebacterium phage Cruella,,viruses,True,,,,,,,,,,,,,,,,6.677520672996956,11.0,,,62.871,72.0,10^-23.5912,,,,,,0,virus-phage
2767572,1,2560086,Klebsiella phage Muenster,,viruses,True,,,,,,,,,,,,,,,,24.888940690261386,41.0,1.0,41.0,31.127,408.0,10^-42.9172,,,,,,0,virus-phage
2596966,1,2169643,Klebsiella phage KpCHEMY26,,viruses,True,,,,1.2140946678176283,2.0,,,77.528,89.0,10^-20.7534,,,,,,,,,,,,,,,,,,0,virus-phage
2591042,1,2169642,Achromobacter phage vB_AxyP_19-32_Axy11,,viruses,True,,,,,,,,,,,,,,,,10.926852010358656,18.0,1.0,18.0,55.705,149.0,10^-50.4559,,,,,,0,virus-phage
2048976,1,2169642,Pseudomonas phage inbricus,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,74.5,47.0,10^-13.5719,,,,,,0,virus-phage
1883379,1,2169624,Erwinia phage vB_EamM_Caitlin,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,39.474,76.0,10^-12.0857,,,,,,0,virus-phage
1883373,1,2169624,Erwinia phage vB_EamM_Huxley,,viruses,True,,,,11.53389934426747,19.0,1.0,19.0,94.737,57.0,10^-13.1379,,,,,,,,,,,,,,,,,,0,virus-phage
2664208,1,1985711,Acinetobacter phage vB_AbaP_APK44,,viruses,True,,,,2.4281893356352566,4.0,1.0,4.0,96.0,50.0,10^-11.6655,,,,,,,,,,,,,,,,,,0,virus-phage
2315465,1,1985711,Acinetobacter phage AJO2,,viruses,True,,,,,,,,,,,,,,,,10.926852010358656,18.0,1.0,18.0,58.389,149.0,10^-50.8508,,,,,,0,virus-phage
2767580,1,1985325,Klebsiella phage Metamorpho,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,70.8,48.0,10^-13.585,,,,,,0,virus-phage
2759182,1,1984776,Proteus phage 10,,viruses,True,,,,,,,,,,,,,,,,115.3389934426747,190.0,3.0,186.0,37.3741,350.673,10^-69.8727,,,,,,0,virus-phage
2060126,1,1984776,Erwinia phage vB_EamM_Bosolaphorus,,viruses,True,,,,,,,,,,,,,,,,24.28189335635257,40.0,1.0,40.0,26.471,204.0,10^-11.7825,,,,,,0,virus-phage
1775248,1,1982355,Pseudomonas phage AAT-1,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,62.5,48.0,10^-10.6364,,,,,,0,virus-phage
2041562,1,1982251,Propionibacterium phage MEAK,,viruses,True,,,,1.2140946678176283,2.0,,,95.528,246.0,10^-105.907,,,,,,1.2140946678176283,2.0,,,100.0,81.0,10^-50.8386,,,,,,0,virus-phage
2739754,1,1980929,Escherichia phage vB_EcoM_EC001,,viruses,True,,,,,,,,,,,,,,,,1.8211420017264424,3.0,,,45.5333,48.3333,10^-4.11078,,,,,,0,virus-phage
2136797,1,1980929,Salmonella phage SPAsTU,,viruses,True,,,,,,,,,,,,,,,,1.8211420017264424,3.0,,,47.312,93.0,10^-18.4763,,,,,,0,virus-phage
2234036,1,1980928,Staphylococcus phage Quidividi,,viruses,True,,,,,,,,,,,,,,,,29.74531936153189,49.0,1.0,48.0,71.917,71.5227,10^-22.3233,,,,,,0,virus-phage
2591403,1,1980921,Achromobacter phage Motura,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,46.0,50.0,10^-4.33442,,,,,,0,virus-phage
2530033,1,1980921,Burkholderia phage BcepSauron,,viruses,True,,,,,,,,,,,,,,,,2.4281893356352566,4.0,,,40.9667,48.0,10^-4.0735,,,,,,0,virus-phage
2562463,1,1921544,Pseudomonas phage KP1,,viruses,True,,,,,,,,,,,,,,,,13.355041345993913,22.0,2.0,16.0,49.541,150.375,10^-40.1735,,,,,,0,virus-phage
1636189,1,1920762,Pseudomonas phage YH30,,viruses,True,,,,,,,,,,,,,,,,178.4719161691914,294.0,1.0,294.0,51.908,393.0,10^-128.936,,,,,,0,virus-phage
2099850,1,1920753,Klebsiella phage KP8,,viruses,True,,,,,,,,,,,,,,,,18.211420017264427,30.0,1.0,30.0,58.065,93.0,10^-22.3439,,,,,,0,virus-phage
2759218,1,1914852,Escherichia phage JEP1,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,53.25,40.0,10^-3.45278,,,,,,0,virus-phage
1508680,1,1914852,Escherichia coli O157 typing phage 5,,viruses,True,,,,0.6070473339088142,1.0,,,97.222,36.0,10^-10.8537,,,,,,,,,,,,,,,,,,0,virus-phage
2562462,1,1912143,Aeromonas phage Asfd_1,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,53.8,52.0,10^-3.9393,,,,,,0,virus-phage
1970744,1,1857889,Staphylococcus phage qdsa001,,viruses,True,,,,1.2140946678176283,2.0,,,83.908,87.0,10^-27.6251,,,,,,,,,,,,,,,,,,0,virus-phage
2794364,1,1636618,Campylobacter phage F355,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,53.2,47.0,10^-6.66959,,,,,,0,virus-phage
2794362,1,1636618,Campylobacter phage F348,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,52.0,50.0,10^-9.09583,,,,,,0,virus-phage
2794361,1,1636618,Campylobacter phage F336,,viruses,True,,,,,,,,,,,,,,,,2.4281893356352566,4.0,,,42.6,47.0,10^-3.12843,,,,,,0,virus-phage
2794360,1,1636618,Campylobacter phage F207,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,53.3,45.0,10^-5.03763,,,,,,0,virus-phage
2136799,1,1636618,Campylobacter phage CP39,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,47.6,42.0,10^-3.15927,,,,,,0,virus-phage
2365012,1,1623304,Streptococcus phage CHPC1036,,viruses,True,,,,0.6070473339088142,1.0,,,100.0,36.0,10^-12.226,,,,,,,,,,,,,,,,,,0,virus-phage
2499037,1,1623276,Mycobacterium phage DrLupo,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,54.8,42.0,10^-5.42481,,,,,,0,virus-phage
2070722,1,1198137,Vibrio phage 1.081.O._10N.286.52.C2,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,74.5,47.0,10^-12.9136,,,,,,0,virus-phage
2601632,1,680115,Pseudomonas phage vB_PaeM_PS119XW,,viruses,True,,,,,,,,,,,,,,,,32.78055603107597,54.0,5.0,53.0,33.7933,185.091,10^-22.4065,,,,,,0,virus-phage
2562177,1,680115,Pseudomonas phage PA1C,,viruses,True,,,,,,,,,,,,,,,,3.642284003452885,6.0,,,50.84,47.0,10^-6.47076,,,,,,0,virus-phage
2530023,1,680115,Pseudomonas phage Psa21,,viruses,True,,,,,,,,,,,,,,,,35.20874536671123,58.0,2.0,56.0,39.06,173.095,10^-27.2851,,,,,,0,virus-phage
2006668,1,680115,Pseudomonas phage Phabio,,viruses,True,,,,,,,,,,,,,,,,24.888940690261386,41.0,1.0,37.0,35.3962,315.371,10^-38.8907,,,,,,0,virus-phage
998086,1,680115,Pseudomonas phage PhiPA3,,viruses,True,,,,,,,,,,,,,,,,37.02988736843766,61.0,2.0,56.0,34.7953,367.294,10^-46.6616,,,,,,0,virus-phage
198110,1,680115,Pseudomonas phage 201phi2-1,,viruses,True,,,,,,,,,,,,,,,,6.070473339088142,10.0,1.0,7.0,36.2887,119.75,10^-13.1949,,,,,,0,virus-phage
2079259,1,371730,Escherichia phage PMBT57,,viruses,True,,,,,,,,,,,,,,,,0.6070473339088142,1.0,,,47.8,46.0,10^-3.383,,,,,,0,virus-phage
1327770,1,186764,Mycobacterium phage HINdeR,,viruses,True,,,,,,,,,,,,,,,,1.2140946678176283,2.0,,,68.2,44.0,10^-10.4802,,,,,,0,virus-phage
2759599,1,-200,Bacteroides phage Bacuni_F1,,viruses,True,,,,,,,,,,,,,,,,3.035236669544071,5.0,,,76.8528,64.8,10^-26.263,,,,,,0,virus-phage
2710500,1,-200,Bacteroides phage DAC22,,viruses,True,,,,1.2140946678176283,2.0,,,87.302,63.0,10^-19.531,,,,,,,,,,,,,,,,,,0,virus-phage
2558871,1,-200,Streptococcus satellite phage Javan99,,viruses,True,,,,5.463426005179328,9.0,,,89.8893,99.0,10^-41.3252,,,,,,,,,,,,,,,,,,0,virus-phage
2558870,1,-200,Streptococcus satellite phage Javan98,,viruses,True,,,,1.8211420017264424,3.0,,,98.305,118.0,10^-65.2329,,,,,,,,,,,,,,,,,,0,virus-phage
2558811,1,-200,Streptococcus satellite phage Javan70,,viruses,True,,,,2.4281893356352566,4.0,,,86.137,100.25,10^-35.9973,,,,,,,,,,,,,,,,,,0,virus-phage
2558803,1,-200,Streptococcus satellite phage Javan647,,viruses,True,,,,0.6070473339088142,1.0,,,94.872,39.0,10^-11.5051,,,,,,,,,,,,,,,,,,0,virus-phage
