sample,taxa,percentage
SRR21770626,archaea,0.0038014401375817213
SRR21770627,archaea,0.008627101935521882
SRR21770629,archaea,0.008003637545106987
SRR21770630,archaea,0.007887550815629332
SRR21770631,archaea,0.010518675909076564
SRR21770632,archaea,0.020461114512855805
SRR21770633,archaea,0.008075461857148782
SRR21770634,archaea,0.02746126176493407
SRR21770635,archaea,0.005807297777978965
SRR21770636,archaea,0.0408901546128905
SRR21770637,archaea,0.004173559700107535
SRR21770638,archaea,0.013727147375730867
SRR21770639,archaea,0.008609590300905181
SRR21770640,archaea,0.026180744987643483
SRR21770641,archaea,0.0
SRR21770642,archaea,0.023755000427590007
SRR21770643,archaea,0.014060578666134149
SRR21770644,archaea,0.028941636409144236
SRR21770645,archaea,0.009478578251950281
SRR21770646,archaea,0.031185620593849814
SRR21770647,archaea,0.009357141773926938
SRR21770648,archaea,0.012283862197793989
SRR21770649,archaea,0.027264729798019038
SRR21770650,archaea,0.03963755714105784
SRR21770651,archaea,0.011573542690112177
SRR21770652,archaea,0.015123024576844791
SRR21770653,archaea,0.007771997037497601
SRR21770654,archaea,4.3877700562775394e-05
SRR21770655,archaea,0.02258173509764063
SRR21770656,archaea,0.019451468585878238
SRR21770657,archaea,0.012382395727693648
SRR21770658,archaea,0.004480749029775841
SRR21770659,archaea,0.0010946188537151365
SRR21770660,archaea,0.013347390527287502
SRR21770661,archaea,0.014297681015028221
SRR21770662,archaea,0.005404434223292248
SRR21770663,archaea,0.015650810152429164
SRR21770664,archaea,0.016500452112387883
SRR21770666,archaea,0.018800264596316545
SRR21770667,archaea,0.0013879305100205112
SRR21770668,archaea,0.049632634851590064
SRR21770669,archaea,0.005616362223509422
SRR21770670,archaea,
SRR21770671,archaea,0.00042203643240608965
SRR21770672,archaea,0.34004817430588574
SRR21770673,archaea,0.00645073107533687
SRR21770674,archaea,0.031160482619443403
SRR21770684,archaea,0.00875069939301967
SRR21770685,archaea,0.0012488596081552253
SRR21770686,archaea,0.009604360569884084
SRR21770687,archaea,0.06902864688845871
SRR21770688,archaea,0.01262512399675354
SRR21770689,archaea,0.00020930849288047624
SRR21770690,archaea,0.004065166081625596
SRR21770691,archaea,
SRR21770692,archaea,0.008623988514383554
SRR21770693,archaea,0.005382113978349077
SRR21770694,archaea,0.08606710678367074
SRR21770695,archaea,0.02167982434657052
SRR21770696,archaea,0.02083035469970821
SRR21770697,archaea,0.008031028113322531
SRR21770698,archaea,0.007910681986308106
SRR21770699,archaea,0.025783624872463145
SRR21770700,archaea,0.018516898036740025
SRR21770701,archaea,0.027888653322262164
SRR21770702,archaea,0.010252608838520982
SRR21770704,archaea,0.014393661733502405
SRR21770705,archaea,0.019603840032665337
SRR21770706,archaea,0.005124635403543685
SRR21770707,archaea,0.04697940715648901
SRR21770708,archaea,
SRR21770709,archaea,0.012237227393907608
SRR21770710,archaea,0.033158694847922346
SRR21770711,archaea,0.01638029599303819
SRR21770712,archaea,0.01512481599003834
SRR21770713,archaea,0.00971760708005565
SRR21770714,archaea,0.0003717935997126035
SRR21770716,archaea,0.01465394881533118
SRR21770717,archaea,0.006815618920158121
SRR21770718,archaea,0.0
SRR21770719,archaea,0.032107174363498345
SRR21770720,archaea,0.014265574650912998
SRR21770721,archaea,0.01638262543732657
SRR21770722,archaea,0.005917372170738903
SRR21770723,archaea,0.005322494798470992
SRR21770724,archaea,0.04288532464190754
SRR21770725,archaea,0.06340018023875843
SRR21770626,bacteria,99.6442612319251
SRR21770627,bacteria,99.90352375030642
SRR21770629,bacteria,99.65363717737229
SRR21770630,bacteria,99.91243820170497
SRR21770631,bacteria,99.90525678341895
SRR21770632,bacteria,99.50447637526293
SRR21770633,bacteria,99.61897155659342
SRR21770634,bacteria,99.6588892596912
SRR21770635,bacteria,99.88879769280527
SRR21770636,bacteria,99.58488839830422
SRR21770637,bacteria,83.12008219248635
SRR21770638,bacteria,99.72084288530027
SRR21770639,bacteria,99.8853359109925
SRR21770640,bacteria,99.75300186041962
SRR21770641,bacteria,99.99970993924263
SRR21770642,bacteria,99.70665968043416
SRR21770643,bacteria,99.80203050282958
SRR21770644,bacteria,99.49955479844319
SRR21770645,bacteria,99.89312419419994
SRR21770646,bacteria,99.57899412198302
SRR21770647,bacteria,99.91514040391232
SRR21770648,bacteria,99.78495124064301
SRR21770649,bacteria,99.84713994094247
SRR21770650,bacteria,99.72716765575338
SRR21770651,bacteria,99.64389835177448
SRR21770652,bacteria,99.64139834994116
SRR21770653,bacteria,99.39775814811246
SRR21770654,bacteria,99.0324967025908
SRR21770655,bacteria,99.81482131462067
SRR21770656,bacteria,99.47237891460804
SRR21770657,bacteria,99.05665895615644
SRR21770658,bacteria,99.87245642550458
SRR21770659,bacteria,99.9704452909497
SRR21770660,bacteria,99.70855625597208
SRR21770661,bacteria,99.84820559982892
SRR21770662,bacteria,99.95509720076178
SRR21770663,bacteria,99.7623590717529
SRR21770664,bacteria,99.79279098913977
SRR21770666,bacteria,99.81164920098877
SRR21770667,bacteria,99.9835298912811
SRR21770668,bacteria,99.53434550448227
SRR21770669,bacteria,99.5928835940471
SRR21770670,bacteria,99.71331302633938
SRR21770671,bacteria,99.98780536834784
SRR21770672,bacteria,99.59873207677002
SRR21770673,bacteria,99.62418852735223
SRR21770674,bacteria,99.3004226293804
SRR21770684,bacteria,99.35324376304318
SRR21770685,bacteria,99.99043976437896
SRR21770686,bacteria,99.8712445127562
SRR21770687,bacteria,99.62728282237128
SRR21770688,bacteria,99.75087924970691
SRR21770689,bacteria,99.99074856461469
SRR21770690,bacteria,99.96921738696022
SRR21770691,bacteria,100.0
SRR21770692,bacteria,99.90307614527964
SRR21770693,bacteria,99.70163107058949
SRR21770694,bacteria,99.2302621974687
SRR21770695,bacteria,99.70261584756825
SRR21770696,bacteria,99.69541630454513
SRR21770697,bacteria,99.74214100910656
SRR21770698,bacteria,98.89164931305348
SRR21770699,bacteria,99.75274029943733
SRR21770700,bacteria,99.6173955709455
SRR21770701,bacteria,99.56298409995517
SRR21770702,bacteria,99.8414062975899
SRR21770704,bacteria,99.8054398211535
SRR21770705,bacteria,99.90119780622591
SRR21770706,bacteria,99.80388414513361
SRR21770707,bacteria,99.2683414927005
SRR21770708,bacteria,
SRR21770709,bacteria,99.80420436169747
SRR21770710,bacteria,99.7339630658182
SRR21770711,bacteria,99.75084516516132
SRR21770712,bacteria,99.68134291790852
SRR21770713,bacteria,99.4429437376513
SRR21770714,bacteria,96.02527081097246
SRR21770716,bacteria,96.41026696830389
SRR21770717,bacteria,95.57433981436732
SRR21770718,bacteria,98.91976572274628
SRR21770719,bacteria,99.8285907720083
SRR21770720,bacteria,99.7516111707841
SRR21770721,bacteria,99.95595666114076
SRR21770722,bacteria,99.95496066489949
SRR21770723,bacteria,99.97655682972855
SRR21770724,bacteria,99.72929373157547
SRR21770725,bacteria,99.84812786706915
SRR21770626,eukaryota,0.19767488715424952
SRR21770627,eukaryota,0.07743350029931835
SRR21770629,eukaryota,0.3053495880722439
SRR21770630,eukaryota,0.061769174319865144
SRR21770631,eukaryota,0.07686146753560946
SRR21770632,eukaryota,0.4480173737146596
SRR21770633,eukaryota,0.33435375560837116
SRR21770634,eukaryota,0.2828633106459801
SRR21770635,eukaryota,0.10068960916588146
SRR21770636,eukaryota,0.13697108475676262
SRR21770637,eukaryota,16.871570688113437
SRR21770638,eukaryota,0.2514336601958099
SRR21770639,eukaryota,0.09000935314582689
SRR21770640,eukaryota,0.1428481388972265
